
two
dos
zwei
deux
due
два
dos (Catalan)
dva (Czech)
dva (Slovak)
dva (Slovenian)
dva (Serbian)
dva (Croatian)
dva (Bosnian)
dva (Macedonian)
dva (Bulgarian)
dois (Portuguese)
dwa (Polish)
dva (Russian)
dva (Ukrainian)
dva (Belarusian)
dva (Montenegrin)
dva (Kazakh)
dva (Uzbek)
dva (Tajik)
dva (Kyrgyz)
dva (Turkmen)
dva (Azerbaijani)
dva (Georgian)
dva (Armenian)
dva (Albanian)
dva (Romanian)
dva (Hungarian)
dva (Estonian)
dva (Latvian)
dva (Lithuanian)
dva (Finnish)
dva (Swedish)
dva (Norwegian)
dva (Danish)
dva (Icelandic)
dva (Faroese)
dva (Greenlandic)
dva (Irish)
dva (Scottish Gaelic)
dva (Welsh)
dva (Breton)
dva (Cornish)
dva (Manx)
dva (Maltese)
dva (Esperanto)
dva (Interlingua)
dva (Latin)
dva (Greek)
dva (Turkish)
dva (Arabic)
dva (Hebrew)
dva (Persian)
dva (Hindi)
dva (Bengali)
dva (Chinese)
dva (Japanese)
dva (Korean)
